id,Time,3d_x0,3d_y0,3d_z0,3d_x1,3d_y1,3d_z1,3d_x2,3d_y2,3d_z2,3d_x3,3d_y3,3d_z3,3d_x4,3d_y4,3d_z4,3d_x5,3d_y5,3d_z5,3d_x6,3d_y6,3d_z6,3d_x7,3d_y7,3d_z7,3d_x8,3d_y8,3d_z8,3d_x9,3d_y9,3d_z9,3d_x10,3d_y10,3d_z10,3d_x11,3d_y11,3d_z11,3d_x12,3d_y12,3d_z12,3d_x13,3d_y13,3d_z13,3d_x14,3d_y14,3d_z14,3d_x15,3d_y15,3d_z15,3d_x16,3d_y16,3d_z16,3d_x17,3d_y17,3d_z17,3d_x18,3d_y18,3d_z18,3d_x19,3d_y19,3d_z19,3d_x20,3d_y20,3d_z20,3d_x21,3d_y21,3d_z21,3d_x22,3d_y22,3d_z22,3d_x23,3d_y23,3d_z23,3d_x24,3d_y24,3d_z24,3d_x25,3d_y25,3d_z25,3d_x26,3d_y26,3d_z26,3d_x27,3d_y27,3d_z27,3d_x28,3d_y28,3d_z28,3d_x29,3d_y29,3d_z29,3d_x30,3d_y30,3d_z30,3d_x31,3d_y31,3d_z31,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,2021-07-26 15:58:00.1,-406.999,114.869,1232.88,-419.305,-53.1213,1213.1,-398.055,-185.74099999999999,1194.55,-333.293,-381.593,1187.95,-352.57599999999996,-353.401,1219.64,-374.376,-327.073,1351.17,-341.86300000000006,-180.13400000000001,1566.49,-128.01,-196.56,1617.59,-71.8688,-229.518,1681.94,8.06286,-250.614,1742.91,-57.2383,-242.00900000000001,1716.52,-337.27,-345.663,1158.01,-294.88,-297.70799999999997,1050.62,-199.96200000000002,-62.581,1136.37,-103.417,-111.527,1331.65,-53.7235,-135.815,1413.23,13.9564,-174.06799999999998,1477.65,-53.1811,-152.26,1424.73,-398.911,104.19,1318.52,-48.2386,211.269,1420.49,-244.179,507.51300000000003,1342.19,-156.327,648.6469999999999,1278.32,-414.292,124.49799999999999,1155.66,-92.3071,261.969,1007.5,-255.763,554.925,1157.64,-195.919,697.9730000000001,1104.69,-297.55400000000003,-450.528,1188.87,-180.757,-467.292,1285.89,-216.997,-506.23,1284.59,-334.10400000000004,-513.3009999999999,1257.04,-182.72299999999998,-499.939,1249.15,-233.592,-506.719,1135.66,2.117648,-6.1064835,7.508677,1.54,3.5,-1.19
2,2021-07-26 15:58:00.2,-406.999,114.869,1232.88,-419.305,-53.1213,1213.1,-398.055,-185.74099999999999,1194.55,-333.293,-381.593,1187.95,-352.57599999999996,-353.401,1219.64,-374.376,-327.073,1351.17,-341.86300000000006,-180.13400000000001,1566.49,-128.01,-196.56,1617.59,-71.8688,-229.518,1681.94,8.06286,-250.614,1742.91,-57.2383,-242.00900000000001,1716.52,-337.27,-345.663,1158.01,-294.88,-297.70799999999997,1050.62,-199.96200000000002,-62.581,1136.37,-103.417,-111.527,1331.65,-53.7235,-135.815,1413.23,13.9564,-174.06799999999998,1477.65,-53.1811,-152.26,1424.73,-398.911,104.19,1318.52,-48.2386,211.269,1420.49,-244.179,507.51300000000003,1342.19,-156.327,648.6469999999999,1278.32,-414.292,124.49799999999999,1155.66,-92.3071,261.969,1007.5,-255.763,554.925,1157.64,-195.919,697.9730000000001,1104.69,-297.55400000000003,-450.528,1188.87,-180.757,-467.292,1285.89,-216.997,-506.23,1284.59,-334.10400000000004,-513.3009999999999,1257.04,-182.72299999999998,-499.939,1249.15,-233.592,-506.719,1135.66,1.634298,-6.0442696,7.357928999999999,-1.26,-0.84000003,8.82
3,2021-07-26 15:58:00.4,-409.16,113.73100000000001,1234.35,-419.80400000000003,-54.3374,1211.94,-396.29900000000004,-186.53599999999997,1191.5,-327.969,-381.403,1181.5,-347.57300000000004,-353.995,1213.79,-370.156,-328.2,1345.53,-339.789,-182.63099999999997,1562.64,-128.705,-203.979,1624.04,-76.6607,-242.081,1689.22,1.30208,-268.303,1751.04,-60.5436,-238.322,1728.81,-332.798,-345.043,1152.08,-294.008,-296.469,1043.36,-208.05,-54.9517,1121.94,-104.28399999999999,-105.37799999999999,1313.55,-60.5566,-130.216,1398.51,3.9388400000000003,-166.498,1467.46,-56.0517,-148.188,1403.99,-401.608,101.82700000000001,1320.03,-50.6843,210.886,1421.48,-246.18400000000003,507.825,1341.82,-155.934,647.533,1277.3,-415.971,124.465,1157.09,-98.6043,271.342,1006.34,-258.422,562.158,1165.81,-197.084,705.805,1115.38,-290.932,-449.80699999999996,1181.15,-180.195,-458.41900000000004,1286.4,-216.283,-497.64,1285.83,-331.63,-507.54699999999997,1251.62,-179.813,-493.836,1252.15,-223.56900000000002,-509.574,1136.37,2.07697,-6.202196,7.489535000000001,-2.1,-4.06,0.98
4,2021-07-26 15:58:00.5,-409.24300000000005,114.619,1234.73,-420.335,-53.7725,1212.6,-397.57,-186.394,1192.4,-330.792,-382.24800000000005,1183.36,-350.223,-354.469,1215.57,-372.656,-327.787,1347.42,-340.256,-181.458,1564.31,-128.846,-206.15900000000002,1624.78,-72.3553,-236.313,1690.65,9.579039999999999,-254.45,1750.52,-54.0983,-236.648,1726.27,-335.289,-345.91900000000004,1153.71,-296.125,-297.309,1044.88,-210.109,-55.2696,1123.47,-105.45,-106.791,1314.79,-60.0542,-130.719,1399.35,8.69695,-159.502,1467.99,-58.79600000000001,-150.773,1411.16,-401.71,102.837,1320.59,-49.2712,211.118,1420.24,-245.53599999999997,509.102,1343.34,-154.803,648.6419999999999,1278.23,-416.036,125.245,1157.31,-96.2583,269.192,1007.06,-257.064,562.116,1163.21,-195.717,700.367,1098.69,-294.278,-451.096,1183.37,-178.489,-462.603,1283.17,-214.28,-502.228,1282.74,-331.214,-512.057,1253.46,-179.385,-496.727,1247.52,-228.418,-508.471,1133.15,2.172683,-6.089733,7.465606699999999,2.1,-1.19,2.17
5,2021-07-26 15:58:00.7,-411.0,115.256,1235.8,-422.096,-53.2483,1213.32,-399.142,-185.959,1193.08,-333.662,-382.531,1186.0,-353.102,-354.33099999999996,1217.89,-375.709,-327.841,1349.88,-341.38599999999997,-180.498,1566.09,-129.02200000000002,-203.555,1624.57,-75.6356,-235.28599999999997,1692.38,3.00655,-253.447,1756.66,-56.9562,-243.804,1722.95,-337.725,-346.37699999999995,1156.01,-297.67400000000004,-298.432,1047.07,-208.80700000000002,-56.5166,1123.7,-105.905,-106.523,1316.6,-58.9406,-132.112,1399.91,7.68415,-170.045,1466.31,-66.0783,-155.555,1416.59,-404.11699999999996,103.334,1321.78,-50.2762,210.403,1419.09,-246.843,508.49,1341.76,-153.888,648.303,1280.01,-417.207,126.007,1158.28,-97.8501,270.60900000000004,1006.87,-257.038,563.7819999999999,1165.0,-196.28799999999998,703.5980000000001,1102.95,-297.612,-451.699,1186.77,-175.334,-464.134,1278.63,-210.47099999999998,-504.404,1279.25,-328.98800000000006,-515.46,1257.22,-177.987,-497.209,1242.03,-234.165,-506.39,1130.62,2.0937197,-6.116055,7.489535000000001,-1.61,-3.57,-0.07
6,2021-07-26 15:58:00.8,-411.095,115.243,1236.01,-422.216,-53.2089,1213.48,-399.398,-185.90200000000002,1193.21,-334.361,-382.55,1185.71,-353.745,-354.38599999999997,1217.65,-376.32199999999995,-328.005,1349.63,-341.464,-180.69400000000002,1565.69,-128.92600000000002,-205.456,1622.61,-75.4601,-237.793,1690.04,3.34449,-256.783,1753.84,-59.3494,-243.838,1725.02,-338.334,-346.329,1155.81,-298.065,-297.688,1047.3,-208.601,-56.7921,1126.16,-105.67,-107.865,1318.7,-57.9326,-131.969,1401.99,9.81932,-167.782,1468.38,-68.5736,-155.174,1423.16,-404.215,103.29299999999999,1321.96,-50.4507,210.359,1419.17,-246.84099999999998,508.45300000000003,1341.87,-153.882,648.043,1279.75,-417.29900000000004,126.01799999999999,1158.51,-98.1493,270.684,1006.98,-257.92,562.935,1166.0,-197.238,703.15,1104.91,-298.472,-451.78,1186.34,-173.894,-464.592,1274.93,-209.613,-504.265,1277.24,-328.83099999999996,-513.79,1258.73,-178.09099999999998,-498.236,1239.02,-237.50799999999998,-508.42699999999996,1129.42,1.9908284,-6.4343,7.324430499999999,-6.3,-2.17,2.94
8,2021-07-26 15:58:01.1,-409.412,115.74799999999999,1234.83,-420.324,-53.0208,1213.28,-398.34,-186.111,1193.77,-335.969,-383.718,1183.51,-354.569,-355.584,1216.02,-374.791,-330.31199999999995,1348.73,-343.161,-180.80200000000002,1564.1,-130.338,-204.583,1621.26,-79.8215,-228.91099999999997,1694.22,-9.18525,-244.025,1768.01,-64.8061,-241.61900000000003,1726.1,-339.86,-347.12199999999996,1153.98,-299.584,-297.89099999999996,1045.6,-213.136,-55.4194,1123.92,-104.917,-109.45700000000001,1312.99,-51.5904,-138.002,1391.46,23.9471,-153.179,1457.53,-71.21300000000001,-181.702,1414.7,-402.32800000000003,104.29799999999999,1320.92,-48.4149,210.675,1419.85,-245.997,509.215,1345.61,-154.292,648.112,1279.68,-415.8,126.073,1157.2,-94.5444,269.96299999999997,1008.43,-257.453,562.4259999999999,1164.73,-195.838,701.6010000000001,1101.76,-300.964,-453.48900000000003,1183.0,-171.226,-464.454,1264.41,-208.04,-502.517,1271.96,-328.583,-508.89099999999996,1261.71,-178.86900000000003,-500.49800000000005,1231.45,-245.68200000000002,-516.477,1126.77,2.4622145,-5.7427745,7.0827546,-6.02,12.74,14.84
9,2021-07-26 15:58:01.3,-398.668,104.96,1241.77,-408.585,-60.1248,1225.13,-389.327,-190.65900000000002,1209.39,-328.715,-382.75300000000004,1190.95,-345.395,-356.31199999999995,1224.24,-364.365,-343.713,1355.46,-351.098,-189.83900000000003,1561.46,-140.129,-198.53799999999998,1607.41,-86.3313,-237.173,1667.92,-18.5281,-254.511,1740.29,-64.4942,-238.294,1693.21,-333.914,-346.26599999999996,1163.42,-309.405,-301.072,1052.2,-239.27599999999998,-49.1642,1073.26,-91.7341,-78.7152,1232.14,-12.168,-108.005,1278.42,81.7898,-127.51899999999999,1302.57,-6.0083400000000005,-146.33100000000002,1281.38,-390.648,96.0022,1325.87,-49.1712,212.45,1420.47,-241.705,501.685,1340.87,-158.055,642.9580000000001,1281.64,-405.899,113.037,1165.93,-107.014,267.08799999999997,1005.45,-254.043,555.39,1163.61,-199.71400000000003,698.235,1114.3,-294.528,-450.62699999999995,1186.88,-163.77,-466.235,1258.1,-201.52200000000002,-500.186,1269.99,-319.606,-498.353,1268.27,-175.886,-502.41,1228.63,-249.015,-518.643,1132.25,1.4739788,-5.369494,8.054241000000001,-15.4,8.4,-0.07
11,2021-07-26 15:58:01.5,-394.565,100.946,1238.33,-407.474,-63.29,1220.02,-388.51800000000003,-193.426,1203.73,-327.033,-384.832,1187.26,-343.115,-358.01599999999996,1220.36,-358.213,-342.292,1351.38,-349.786,-189.31599999999997,1557.41,-141.082,-200.44099999999997,1609.9,-82.6153,-234.595,1668.38,-8.4229,-247.222,1734.82,-55.7442,-238.445,1686.21,-333.11699999999996,-348.964,1159.31,-312.055,-304.856,1047.33,-245.40900000000002,-52.3549,1062.82,-87.7709,-77.7712,1211.56,-15.5174,-88.8389,1274.3,73.714,-90.9395,1316.38,-2.33045,-133.048,1273.84,-389.436,91.1797,1322.33,-52.1352,212.053,1422.15,-240.282,502.069,1339.38,-158.877,645.001,1282.46,-399.189,109.75299999999999,1162.59,-104.698,264.107,996.7560000000001,-253.707,547.2180000000001,1160.08,-200.243,694.8710000000001,1128.69,-292.522,-452.327,1183.58,-163.201,-461.67800000000005,1257.6,-199.799,-496.724,1269.29,-317.47700000000003,-499.395,1265.07,-173.282,-498.699,1228.64,-243.453,-519.335,1131.33,1.4356936000000002,-5.766702,8.061419500000001,21.14,-0.21000001,1.33
12,2021-07-26 15:58:01.7,-393.43800000000005,100.95700000000001,1240.07,-405.48699999999997,-63.3056,1221.3,-388.689,-193.708,1204.69,-323.978,-384.195,1189.81,-340.71,-357.43800000000005,1222.65,-358.166,-340.82599999999996,1353.27,-348.649,-189.05200000000002,1560.17,-138.634,-198.27900000000002,1607.63,-88.3884,-236.56099999999998,1671.0,-11.4245,-256.44,1732.33,-60.9422,-236.071,1691.2,-330.467,-348.60400000000004,1161.6,-309.423,-305.42400000000004,1049.24,-241.96400000000003,-52.9942,1062.57,-85.6259,-74.3529,1213.33,-15.85,-88.3662,1278.26,70.8642,-88.7047,1325.37,-2.77871,-134.696,1279.9,-387.97900000000004,90.9648,1324.02,-50.222,212.114,1422.06,-238.968,501.967,1339.97,-158.77200000000002,644.7719999999999,1281.01,-398.361,109.96799999999999,1164.36,-102.735,263.715,999.925,-254.118,547.278,1160.32,-200.394,694.758,1128.5,-288.344,-451.144,1186.78,-159.666,-462.15,1261.71,-196.016,-497.999,1271.62,-313.622,-501.67,1266.08,-169.076,-498.089,1231.2,-238.063,-515.5319999999999,1132.42,1.2729815,-5.6566324,7.946563999999999,-0.56,-2.59,-1.12
